
2025/03/25 (18:47:32) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/25 (18:47:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (18:47:32) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/25 (18:47:32) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/25 (18:47:32) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/25 (18:47:32) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/03/25 (18:47:32) | DEBUG: Shared::init() : Initialized.

2025/03/25 (18:51:10) | ===> btop++ v.1.4.0
2025/03/25 (18:51:10) | INFO: Logger set to DEBUG
2025/03/25 (18:51:10) | DEBUG: Using locale C.UTF-8
2025/03/25 (18:51:10) | INFO: Running on /dev/pts/2
2025/03/25 (18:51:10) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/25 (18:51:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (18:51:10) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/25 (18:51:10) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/25 (18:51:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (18:51:10) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/25 (18:51:10) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/25 (18:51:10) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/25 (18:51:10) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/03/25 (18:51:10) | DEBUG: Shared::init() : Initialized.
2025/03/25 (18:51:23) | DEBUG: Writing new config file
2025/03/25 (18:51:23) | INFO: Quitting! Runtime: 00:00:13

2025/03/25 (18:51:23) | ===> btop++ v.1.4.0
2025/03/25 (18:51:23) | INFO: Logger set to DEBUG
2025/03/25 (18:51:23) | DEBUG: Using locale C.UTF-8
2025/03/25 (18:51:23) | INFO: Running on /dev/pts/2
2025/03/25 (18:51:23) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/25 (18:51:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (18:51:23) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/25 (18:51:23) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/25 (18:51:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (18:51:23) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/25 (18:51:23) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/25 (18:51:23) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/25 (18:51:23) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/03/25 (18:51:23) | DEBUG: Shared::init() : Initialized.
2025/03/25 (18:51:40) | WARNING: Failed to join _runner thread on exit!
2025/03/25 (18:51:40) | DEBUG: Writing new config file
2025/03/25 (18:51:40) | INFO: Quitting! Runtime: 00:00:17

2025/03/25 (18:51:41) | ===> btop++ v.1.4.0
2025/03/25 (18:51:41) | INFO: Logger set to DEBUG
2025/03/25 (18:51:41) | DEBUG: Using locale C.UTF-8
2025/03/25 (18:51:41) | INFO: Running on /dev/pts/2
2025/03/25 (18:51:41) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/25 (18:51:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (18:51:41) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/25 (18:51:41) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/25 (18:51:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (18:51:41) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/25 (18:51:41) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/25 (18:51:41) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/25 (18:51:41) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/03/25 (18:51:41) | DEBUG: Shared::init() : Initialized.
2025/03/25 (18:52:07) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_light.theme
2025/03/25 (18:52:08) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2025/03/25 (18:52:08) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2025/03/25 (18:52:09) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2025/03/25 (18:52:09) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_light.theme
2025/03/25 (18:52:10) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_light.theme
2025/03/25 (18:52:10) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2025/03/25 (18:52:10) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2025/03/25 (18:52:10) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-hard.theme
2025/03/25 (18:52:11) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2025/03/25 (18:52:11) | DEBUG: Loading theme file: /usr/share/btop/themes/phoenix-night.theme
2025/03/25 (18:52:11) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2025/03/25 (18:52:12) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2025/03/25 (18:52:16) | WARNING: Failed to join _runner thread on exit!
2025/03/25 (18:52:16) | DEBUG: Writing new config file
2025/03/25 (18:52:16) | INFO: Quitting! Runtime: 00:00:35

2025/03/25 (18:52:44) | ===> btop++ v.1.4.0
2025/03/25 (18:52:44) | INFO: Logger set to DEBUG
2025/03/25 (18:52:44) | DEBUG: Using locale C.UTF-8
2025/03/25 (18:52:44) | INFO: Running on /dev/pts/2
2025/03/25 (18:52:44) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/25 (18:52:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (18:52:44) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/25 (18:52:44) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/25 (18:52:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (18:52:44) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/25 (18:52:44) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/25 (18:52:44) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/25 (18:52:44) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/03/25 (18:52:44) | DEBUG: Shared::init() : Initialized.
2025/03/25 (18:52:44) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2025/03/25 (18:52:47) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2025/03/25 (18:52:47) | DEBUG: Loading theme file: /usr/share/btop/themes/phoenix-night.theme
2025/03/25 (18:52:47) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
